rmsd_nm free_energy_kj_per_mol
0.080362 31.350790
0.090091 25.269775
0.099819 20.333128
0.109548 16.375271
0.119276 13.134172
0.129005 10.228333
0.138733 7.520870
0.148462 5.083211
0.158190 3.066302
0.167919 1.549436
0.177647 0.519744
0.187376 0.000000
0.197104 0.024654
0.206833 0.493847
0.216561 1.089797
0.226290 1.396899
0.236018 1.363377
0.245747 1.321595
0.255475 1.509677
0.265204 1.964087
0.274932 2.580192
0.284660 3.217361
0.294389 3.766110
0.304117 4.217651
0.313846 4.690552
0.323574 5.257738
0.333303 5.864470
0.343031 6.474202
0.352760 7.098954
0.362488 7.700722
0.372217 8.298466
0.381945 8.972386
0.391674 9.764080
0.401402 10.579582
0.411131 11.275339
0.420859 11.824226
0.430588 12.229512
0.440316 12.417031
0.450045 12.409467
0.459773 12.317181
0.469501 12.374989
0.479230 12.720886
0.488958 13.122604
0.498687 13.370691
0.508415 13.441354
0.518144 13.180229
0.527872 12.583287
0.537601 11.950248
0.547329 11.566321
0.557058 11.469610
0.566786 11.532058
0.576515 11.596858
0.586243 11.594787
0.595972 11.481204
0.605700 11.288132
0.615429 11.151980
0.625157 11.105765
0.634886 11.069430
0.644614 11.002244
0.654343 10.954937
0.664071 10.962222
0.673799 11.046332
0.683528 11.163044
0.693256 11.178447
0.702985 11.115078
0.712713 11.117891
0.722442 11.226357
0.732170 11.423919
0.741899 11.703473
0.751627 12.038947
0.761356 12.509636
0.771084 13.105813
0.780813 13.755431
0.790541 14.447219
0.800270 15.061979
0.809998 15.544516
0.819727 16.024513
0.829455 16.410054
0.839184 16.548834
0.848912 16.644766
0.858640 17.040837
0.868369 17.712462
0.878097 18.268359
0.887826 18.550469
0.897554 18.741458
0.907283 18.780992
0.917011 18.846494
0.926740 19.186752
0.936468 19.541682
0.946197 19.670710
0.955925 19.799894
0.965654 19.861141
0.975382 20.069601
0.985111 20.712617
0.994839 21.390068
1.004568 22.092553
1.014296 23.055863
1.024025 24.748630
1.033753 27.872242
1.043482 32.895370
