rmsd_nm free_energy_kj_per_mol
0.055755 29.786041
0.065637 23.497759
0.075519 18.534512
0.085401 14.597136
0.095284 11.612883
0.105166 9.521962
0.115048 8.087321
0.124930 6.900428
0.134812 5.720730
0.144695 4.451071
0.154577 3.074070
0.164459 1.806586
0.174341 0.867454
0.184223 0.281019
0.194106 0.000000
0.203988 0.013065
0.213870 0.216768
0.223752 0.486250
0.233634 0.858977
0.243517 1.399501
0.253399 2.056466
0.263281 2.848846
0.273163 3.887257
0.283045 5.186510
0.292928 6.575551
0.302810 7.916470
0.312692 9.228183
0.322574 10.475786
0.332456 11.380541
0.342338 11.752196
0.352221 11.840829
0.362103 11.765589
0.371985 11.416622
0.381867 10.911157
0.391749 10.484094
0.401632 10.221677
0.411514 10.013095
0.421396 9.740012
0.431278 9.311841
0.441160 8.748833
0.451043 8.296660
0.460925 8.005357
0.470807 7.706006
0.480689 7.285324
0.490571 6.824698
0.500454 6.459080
0.510336 6.184106
0.520218 5.882218
0.530100 5.501601
0.539982 5.182316
0.549865 5.032620
0.559747 5.069488
0.569629 5.249053
0.579511 5.430146
0.589393 5.510794
0.599276 5.492163
0.609158 5.422664
0.619040 5.341507
0.628922 5.269222
0.638804 5.223919
0.648687 5.189631
0.658569 5.177345
0.668451 5.220665
0.678333 5.293879
0.688215 5.343090
0.698098 5.353496
0.707980 5.408002
0.717862 5.565216
0.727744 5.796166
0.737626 6.035189
0.747509 6.254665
0.757391 6.450385
0.767273 6.593053
0.777155 6.720686
0.787037 6.905778
0.796919 7.127363
0.806802 7.292071
0.816684 7.447893
0.826566 7.701465
0.836448 8.041061
0.846330 8.422048
0.856213 8.818892
0.866095 9.255150
0.875977 9.700528
0.885859 10.150426
0.895741 10.720352
0.905624 11.448068
0.915506 12.199511
0.925388 12.918506
0.935270 13.700445
0.945152 14.489283
0.955035 15.251647
0.964917 16.296063
0.974799 17.639408
0.984681 18.945206
0.994563 20.291426
1.004446 21.927514
1.014328 24.054404
1.024210 27.171790
1.034092 32.043214
