rmsd_nm free_energy_kj_per_mol
0.080748 25.089837
0.090082 19.545025
0.099417 15.728720
0.108751 13.381149
0.118085 12.061748
0.127419 11.185431
0.136753 10.262166
0.146088 9.175482
0.155422 7.958646
0.164756 6.506959
0.174090 4.953754
0.183425 3.569617
0.192759 2.463074
0.202093 1.593943
0.211427 0.912820
0.220762 0.401526
0.230096 0.095492
0.239430 0.000000
0.248764 0.012660
0.258099 0.055488
0.267433 0.188433
0.276767 0.537001
0.286101 1.210837
0.295436 2.220215
0.304770 3.385486
0.314104 4.382669
0.323438 4.994794
0.332773 5.237004
0.342107 5.270792
0.351441 5.262972
0.360775 5.284350
0.370110 5.346560
0.379444 5.408794
0.388778 5.391090
0.398112 5.371864
0.407446 5.439779
0.416781 5.505060
0.426115 5.520864
0.435449 5.467195
0.444783 5.307951
0.454118 5.202222
0.463452 5.268157
0.472786 5.340274
0.482120 5.307362
0.491455 5.189584
0.500789 4.926893
0.510123 4.570759
0.519457 4.297584
0.528792 4.163202
0.538126 4.105371
0.547460 4.093940
0.556794 4.110901
0.566129 4.090497
0.575463 3.998998
0.584797 3.835152
0.594131 3.612409
0.603466 3.412269
0.612800 3.288487
0.622134 3.211506
0.631468 3.185172
0.640803 3.191788
0.650137 3.205710
0.659471 3.248743
0.668805 3.292600
0.678140 3.300285
0.687474 3.311537
0.696808 3.342707
0.706142 3.377729
0.715476 3.436194
0.724811 3.537492
0.734145 3.655808
0.743479 3.774762
0.752813 3.891139
0.762148 3.993681
0.771482 4.098031
0.780816 4.247238
0.790150 4.444861
0.799485 4.629705
0.808819 4.780179
0.818153 4.912193
0.827487 5.085377
0.836822 5.339867
0.846156 5.596707
0.855490 5.854556
0.864824 6.181092
0.874159 6.569714
0.883493 7.040134
0.892827 7.596605
0.902161 8.200181
0.911496 8.885295
0.920830 9.713676
0.930164 10.617562
0.939498 11.561692
0.948833 12.596568
0.958167 13.695654
0.967501 14.902955
0.976835 16.431490
0.986169 18.761211
0.995504 22.413402
1.004838 27.711794
